"","SchoolNo","z_s10_ELA","z_s10_math","z_s09_ELA","z_s09_math","z_f08_ELA","z_f08_math","z_05_ELA","z_05_math","z_06_ELA","z_06_math","z_07_ELA","z_07_math","avg_teach_salary_08","Attendance_0809","Attendance_0708","LATCOD08","LONCOD08","FTE08","MEMBER08","PUPTCH08","ulocal08_dum12","urban08","suburb08","TITLEI08","STITLI08","CHARTR08","study","trt","male","white","sped","frpl","lep","county.pop"
"13","0063",19.2438945770264,17.868860244751,17.9755325317383,17.5706367492676,22.7691402435303,19.683837890625,21.8574047088623,18.5942459106445,22.1530342102051,18.5192432403564,23.0591144561768,19.3887271881104,49640,96.71,96.67,41.0438,-85.2842,38.2,706,18.5,0,0,1,0,0,0,0,0,0.509298980236053,0.864091575145721,0.128755360841751,0.0958512127399445,0.00572246080264449,355329
"14","0064",21.7314605712891,16.9306926727295,20.8065185546875,17.1678161621094,20.6022834777832,18.8623104095459,20.2506542205811,19.0394096374512,20.7152709960938,18.9050254821777,21.5818347930908,18.6981525421143,49640,97.05,97.07,40.9944,-85.2904,24.6,467,19,0,0,0,1,0,0,0,0,0.510373473167419,0.908713698387146,0.149377599358559,0.161825731396675,0.012448132969439,355329
"15","0067",19.4831886291504,18.1035251617432,17.9669780731201,17.7649154663086,23.183967590332,20.0597019195557,22.0599250793457,18.9687004089355,22.2090854644775,18.6689262390137,23.1392593383789,19.6445407867432,49640,97.13,96.66,41.0631,-85.3102,44.9,966,21.5,0,0,0,1,0,0,0,0,0.510593235492706,0.806144058704376,0.100635595619678,0.121822036802769,0.0127118639647961,355329
"16","0068",21.440767288208,16.5600280761719,20.587438583374,16.7645606994629,20.3810539245605,18.6181774139404,20.0705890655518,19.3870315551758,20.4095554351807,18.357816696167,20.9459247589111,18.3989028930664,49640,97.18,97.3,41.0397,-85.2694,22.8,423,18.6,0,1,0,1,0,0,0,0,0.524017453193665,0.860262036323547,0.131004363298416,0.135371178388596,0.0174672491848469,355329
"17","0069",21.2998142242432,16.3670597076416,19.7543392181396,15.955057144165,19.5258312225342,17.7905578613281,19.7283267974854,18.921781539917,19.4133205413818,17.5086421966553,19.9816017150879,16.4400520324707,47259,96.77,96.57,41.1038,-85.289,17.6,201,11.4,0,0,0,1,0,0,0,0,0.519480526447296,0.948051929473877,0.272727280855179,0.220779225230217,0,355329
"18","0071",22.0498867034912,16.7898731231689,21.4698886871338,17.226245880127,21.3732833862305,19.3289203643799,20.8053817749023,19.7592353820801,21.4596290588379,18.7275485992432,22.2378749847412,19.1610412597656,49640,97.54,97.66,41.0706,-85.2747,24.4,428,17.5,0,1,0,0,0,0,0,0,0.467289716005325,0.897196233272552,0.121495328843594,0.0654205605387688,0.00934579409658909,355329
"19","0072",21.9724464416504,17.2104778289795,20.7493553161621,16.9819946289062,20.7714500427246,18.3446350097656,20.5824565887451,19.6619567871094,20.8060855865479,18.7371063232422,21.5110054016113,18.4758243560791,49640,97.23,96.95,41.0613,-85.3104,37.3,724,19.4,0,0,0,1,0,0,0,0,0.461111098527908,0.797222197055817,0.0944444462656975,0.150000005960464,0.0194444451481104,355329
"20","0073",20.3107643127441,16.5616455078125,18.72629737854,16.3610153198242,20.6051750183105,18.3142414093018,20.2090549468994,19.2671489715576,20.8906593322754,18.6235294342041,21.8139495849609,18.7548198699951,49974,96.46,95.79,40.9695,-84.8659,13.5,195,14.4,0,0,0,0,0,0,0,0,0.574999988079071,0.991666674613953,0.158333331346512,0.466666668653488,0,355329
"21","0077",20.8278064727783,15.6705675125122,19.7695198059082,16.39089012146,19.1289844512939,17.3876438140869,19.5386791229248,18.7030391693115,19.0953960418701,17.9435005187988,19.8460350036621,17.7953205108643,47006,96.49,96,40.9601,-85.1674,18.9,282,14.9,0,0,0,1,1,0,0,0,0.5390625,0.5234375,0.1875,0.5546875,0,355329
"22","0079",19.292875289917,17.8930492401123,17.7936859130859,17.6751537322998,23.191333770752,20.0030269622803,21.8436908721924,18.7268810272217,21.8604774475098,18.5139122009277,23.2733383178711,19.7675132751465,47259,97.07,96.92,41.1997,-85.1371,35.7,722,20.2,0,0,1,0,0,0,0,0,0.509040355682373,0.905424177646637,0.0820584148168564,0.0695410296320915,0.0180806685239077,355329
"23","0081",18.5472202301025,16.290943145752,17.2491760253906,15.9779968261719,21.2983551025391,18.0023231506348,20.079647064209,17.2469863891602,19.6547412872314,17.1471366882324,20.3154220581055,17.6076622009277,49974,96.61,97.41,40.978,-84.9613,43.8,849,19.4,0,0,0,0,0,0,0,0,0.491228073835373,0.864035069942474,0.122807018458843,0.368421047925949,0,355329
